date,appKey,platform,adUnits,att,idfa,abTest,instanceName,instanceId,bundleId,appName,providerName,revenue,eCPM,impressions,videoCompletions,clicks,impressionPerEngagedSessions,adSourceChecks,adSourceResponses,adSourceAvailabilityRate,clickThroughRate,countryCode,import_time
2023-12-20,19b574ff5,Android,Rewarded Video,Other,Unavailable,A,Default,0,com.nmg.survivalhero,Survival Hero: Action RPG Game (Android),ironSource,0.0,0.0,0,0,0,0,12,0,0.0,0.0,CN,2023-12-29 17:43:55
2023-12-20,19b574ff5,Android,Rewarded Video,Other,Unavailable,A,Default,0,com.nmg.survivalhero,Survival Hero: Action RPG Game (Android),ironSource,0.0,0.0,0,0,0,0,7,1,14.29,0.0,ID,2023-12-29 17:43:55
2023-12-20,19b574ff5,Android,Rewarded Video,Other,Unavailable,A,Default,0,com.nmg.survivalhero,Survival Hero: Action RPG Game (Android),ironSource,0.0,0.0,0,0,0,0,2,0,0.0,0.0,IN,2023-12-29 17:43:55
2023-12-20,19b574ff5,Android,Rewarded Video,Other,Unavailable,A,Default,0,com.nmg.survivalhero,Survival Hero: Action RPG Game (Android),ironSource,0.0,0.0,0,0,0,0,5,0,0.0,0.0,PH,2023-12-29 17:43:55
2023-12-20,19b574ff5,Android,Rewarded Video,Other,Unavailable,A,Default,0,com.nmg.survivalhero,Survival Hero: Action RPG Game (Android),ironSource,0.0,0.0,0,0,0,0,1,1,100.0,0.0,US,2023-12-29 17:43:55
2023-12-20,19b574ff5,Android,Rewarded Video,Other,Unavailable,A,Default,0,com.nmg.survivalhero,Survival Hero: Action RPG Game (Android),ironSource,0.0,0.0,0,0,0,0,3,1,33.33,0.0,VN,2023-12-29 17:43:55
2023-12-20,19b574ff5,Android,Rewarded Video,Other,Unavailable,A,Bidding,16171529,com.nmg.survivalhero,Survival Hero: Action RPG Game (Android),Meta,0.0,0.0,3,3,0,0,11,11,100.0,0.0,ID,2023-12-29 17:43:55
2023-12-20,19b574ff5,Android,Rewarded Video,Other,Unavailable,A,Bidding,16171529,com.nmg.survivalhero,Survival Hero: Action RPG Game (Android),Meta,0.0,0.0,2,2,0,0,4,4,100.0,0.0,KH,2023-12-29 17:43:55
2023-12-20,19b574ff5,Android,Rewarded Video,Other,Unavailable,A,Bidding,16171529,com.nmg.survivalhero,Survival Hero: Action RPG Game (Android),Meta,0.0,0.0,1,0,0,0,4,4,100.0,0.0,KR,2023-12-29 17:43:55
2023-12-20,19b574ff5,Android,Rewarded Video,Other,Unavailable,A,Bidding,16171529,com.nmg.survivalhero,Survival Hero: Action RPG Game (Android),Meta,0.0,0.0,0,0,0,0,1,1,100.0,0.0,LV,2023-12-29 17:43:55
2023-12-20,19b574ff5,Android,Rewarded Video,Other,Unavailable,A,Bidding,16171529,com.nmg.survivalhero,Survival Hero: Action RPG Game (Android),Meta,0.04,4.44,9,9,1,0,35,33,94.29,11.11,PH,2023-12-29 17:43:55
2023-12-20,19b574ff5,Android,Rewarded Video,Other,Unavailable,A,Bidding,16171529,com.nmg.survivalhero,Survival Hero: Action RPG Game (Android),Meta,0.0,0.0,0,0,0,0,6,5,83.33,0.0,TH,2023-12-29 17:43:55
2023-12-20,19b574ff5,Android,Rewarded Video,Other,Unavailable,A,Bidding,16171529,com.nmg.survivalhero,Survival Hero: Action RPG Game (Android),Meta,0.0,0.0,4,3,0,0,22,20,90.91,0.0,US,2023-12-29 17:43:55
2023-12-20,19b574ff5,Android,Rewarded Video,Other,Unavailable,A,Bidding,16171529,com.nmg.survivalhero,Survival Hero: Action RPG Game (Android),Meta,0.21,9.55,22,22,0,0,52,49,94.23,0.0,VN,2023-12-29 17:43:55
2023-12-20,19b574ff5,Android,Rewarded Video,Other,Unavailable,A,Bidding,16223785,com.nmg.survivalhero,Survival Hero: Action RPG Game (Android),Google AdMob,0.0,0.0,1,1,0,0,3,3,100.0,0.0,BO,2023-12-29 17:43:55
2023-12-20,19b574ff5,Android,Rewarded Video,Other,Unavailable,A,Bidding,16223785,com.nmg.survivalhero,Survival Hero: Action RPG Game (Android),Google AdMob,0.0,0.0,0,0,0,0,2,2,100.0,0.0,BR,2023-12-29 17:43:55
2023-12-20,19b574ff5,Android,Rewarded Video,Other,Unavailable,A,Bidding,16223785,com.nmg.survivalhero,Survival Hero: Action RPG Game (Android),Google AdMob,0.0,0.0,0,0,0,0,80,47,58.75,0.0,CN,2023-12-29 17:43:55
2023-12-20,19b574ff5,Android,Rewarded Video,Other,Unavailable,A,Bidding,16223785,com.nmg.survivalhero,Survival Hero: Action RPG Game (Android),Google AdMob,0.0,0.0,0,0,0,0,1,1,100.0,0.0,CW,2023-12-29 17:43:55
2023-12-20,19b574ff5,Android,Rewarded Video,Other,Unavailable,A,Bidding,16223785,com.nmg.survivalhero,Survival Hero: Action RPG Game (Android),Google AdMob,0.0,0.0,0,0,0,0,1,1,100.0,0.0,DK,2023-12-29 17:43:55
2023-12-20,19b574ff5,Android,Rewarded Video,Other,Unavailable,A,Bidding,16223785,com.nmg.survivalhero,Survival Hero: Action RPG Game (Android),Google AdMob,0.0,0.0,2,2,0,0,3,3,100.0,0.0,EG,2023-12-29 17:43:55
2023-12-20,19b574ff5,Android,Rewarded Video,Other,Unavailable,A,Bidding,16223785,com.nmg.survivalhero,Survival Hero: Action RPG Game (Android),Google AdMob,0.66,220.0,3,3,0,0,6,6,100.0,0.0,FR,2023-12-29 17:43:55
2023-12-20,19b574ff5,Android,Rewarded Video,Other,Unavailable,A,Bidding,16223785,com.nmg.survivalhero,Survival Hero: Action RPG Game (Android),Google AdMob,0.0,0.0,0,0,0,0,5,5,100.0,0.0,HK,2023-12-29 17:43:55
2023-12-20,19b574ff5,Android,Rewarded Video,Other,Unavailable,A,Bidding,16223785,com.nmg.survivalhero,Survival Hero: Action RPG Game (Android),Google AdMob,0.03,15.0,2,2,0,0,34,34,100.0,0.0,ID,2023-12-29 17:43:55
2023-12-20,19b574ff5,Android,Rewarded Video,Other,Unavailable,A,Bidding,16223785,com.nmg.survivalhero,Survival Hero: Action RPG Game (Android),Google AdMob,0.0,0.0,0,0,0,0,3,3,100.0,0.0,IN,2023-12-29 17:43:55
2023-12-20,19b574ff5,Android,Rewarded Video,Other,Unavailable,A,Bidding,16223785,com.nmg.survivalhero,Survival Hero: Action RPG Game (Android),Google AdMob,0.03,10.0,3,3,0,0,3,3,100.0,0.0,KH,2023-12-29 17:43:55
2023-12-20,19b574ff5,Android,Rewarded Video,Other,Unavailable,A,Bidding,16223785,com.nmg.survivalhero,Survival Hero: Action RPG Game (Android),Google AdMob,0.17,12.14,14,13,0,0,18,18,100.0,0.0,KR,2023-12-29 17:43:55
2023-12-20,19b574ff5,Android,Rewarded Video,Other,Unavailable,A,Bidding,16223785,com.nmg.survivalhero,Survival Hero: Action RPG Game (Android),Google AdMob,0.0,0.0,0,0,0,0,1,1,100.0,0.0,LV,2023-12-29 17:43:55
2023-12-20,19b574ff5,Android,Rewarded Video,Other,Unavailable,A,Bidding,16223785,com.nmg.survivalhero,Survival Hero: Action RPG Game (Android),Google AdMob,0.0,0.0,1,1,0,0,3,3,100.0,0.0,MX,2023-12-29 17:43:55
2023-12-20,19b574ff5,Android,Rewarded Video,Other,Unavailable,A,Bidding,16223785,com.nmg.survivalhero,Survival Hero: Action RPG Game (Android),Google AdMob,0.0,0.0,0,0,0,0,7,7,100.0,0.0,MY,2023-12-29 17:43:55
2023-12-20,19b574ff5,Android,Rewarded Video,Other,Unavailable,A,Bidding,16223785,com.nmg.survivalhero,Survival Hero: Action RPG Game (Android),Google AdMob,0.15,5.77,26,26,0,0,60,58,96.67,0.0,PH,2023-12-29 17:43:55
